content,reply,image_urls
"숙련된 모험가 3장 미션입니다.
파티요청 | 2024. 7. 21. 07:44 | 410
     이마젠 결투장 25회승리가 좀 귀찮은데.. 15분마다 무료갱신가능하네요. (전 몰랐습니다.;)
  다른사람들 쉽게 승리하라고 방어팀에 이마젠 1마리 넣어놨습니다.
  파티요청
성실 멤버
네이트람|칠곡산|소드맨|레벨 206
+ 구독하기 1","커피크레마 | 2024. 7. 22. 18:50 답글
그랑프리 하던 안하던 필요 없구요 어차피 킹컨이나 대난투 두번 해야 해서 2주 이상 걸립니다. 돌대가리가 만든거라 어쩔 수 없습니다
기막힌진리 | 2024. 7. 21. 08:49 답글
이마젠 결투장은 15분마다 갱신 가능한데, 
이마젠 그랑프리는 어디서 리셋하나요? 사진 첨부해서 좀 알려주세요.",https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/661ae1ae1053420cb5d9685b9f747e08_1721515324739_d.jpg
"월드 보스 시즌1: 아르도르 패스 업적 달성 꿀팁
클라인슈미트 | 2024. 7. 19. 17:57 | 396
▶ 7월 11일(목) 업데이트를 통해 확장된 월드 보스 시즌1: 아르도르 패스 업적 중
    아르도르에게 특정 스킬로 누적 피해 달성하기 업적이 정상적으로 적용되지 않는 현상
* 대상 스킬: 초월된 워터밤, 타이덜 웨이브, 블리자드
* 해당 현상의 경우 초월 상태일 경우에 발생되며, 초월되지 않은 상태일 경우 정상 달성이 가능합니다.
(7월 11일(목) 20:48 내용 추가)
        초월 하지마세요 
      저게 이슈 확인 및 조치사항이냐 
초월 되지 않은 상황에서 정상달성이 내놓은 답변  이고 조치사항 ?
    클라인슈미트
성실 멤버
에델리안|Aurora乀|로그|레벨 201
+ 구독하기 6",,
"숙련된 모험가 2장 미션입니다.
파티요청 | 2024. 7. 18. 21:54 | 411
  파티요청
성실 멤버
네이트람|칠곡산|소드맨|레벨 206
+ 구독하기 1",,https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/ac284f4752c9428fabd246058599630f_1721307279696_d.jpg
"숙련된 모험가 1장 미션입니다.
파티요청 | 2024. 7. 18. 06:23 | 468
    강화도 480강...... 착용아이템 12개.... 모든착용아이템 모두 40강씩 해야되는수치....
  파티요청
성실 멤버
네이트람|칠곡산|소드맨|레벨 206
+ 구독하기 1",,https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/47e4939ee4ec43f99861006e58cdb826_1721251350299_d.jpg
"킹덤 마을 채집로봇 정보공유를위해..
Yaram | 2024. 7. 8. 20:05 | 607
 안녕하세요..처음으로 이런글을 적는것 같습니다.
칼리아에서 밍기적 밍기적 게으른(?) 제2의나라를 즐기고있는 유저 ""Yaram"" 입니다.
    이번에 모험가이야기에 채집300회가 등장하면서 
오랜만에(?) 채집로봇을 돌려서 어디에 풀어야 좋을지 가물가물하신분들을 위해 글을 남겨볼까합니다.
(채집로봇으로는 모험가이야기 카운트가 안올라간다고하네요...직접..채집..을..;;;)
  이 글의 뼈대는 이전글 ""똥겜찍먹충""님 글을 참고해서 만들어졌음을 알려드립니다.
킹덤마을 채집로봇 동선 공유글 (주관적입니다.) - 제2의 나라: Cross Worlds (netmarble.com)
    저희 킹덤은 오티움까지 뚫어논상태였구요. 
라보네는 아직 오픈하지않았습니다. 
이점 감안해서 참고해주시기 바랍니다.
  기본적으로 채집은 ""바위, 나무, 쇠붙이"" 3종류로 구분되어있는데요.
저희 킹덤 기준(오티움까지 오픈) 각 종류의 로봇 2개씩만 돌리면 전체 재료를 채집해왔습니다.
만약 로봇AI가 개선되서(?) 그냥 막풀어도 다 캐올수도 있지만 게을러서 실험해보지는않았습니다.
  1. 바위
  바위는 맵 5시방향에 있는 화강암부터 시작하시면 됩니다.
빨간원으로 표시된 구석에 있는 화강암을 ""직접 2회"" 채집해주시면됩니다.
그리고 파란원으로 이동하셔서 ""바위 로봇 1""을 소환해주세요!
  다음 사암으로 이동을 합니다.
  사암으로 이동하셔서 앞에 보이는 거대한 사암에서 ""바위 로봇 2""을 소환해주세요!
바위는 이걸로 완료입니다.
  2. 나무
나무는 1시방향에 있는 단풍나무 맨 구석에 있는것부터 시작합니다.
빨간원으로 표시되어있는 제일 안쪽에 단풍나무를 ""직접 1회"" 채집합니다.
그리고 파란원으로 이동하셔서 ""나무 로봇1""을 소환해주세요!
  다음으로 참나무로 이동합니다.
  참나무로 이동하신 다음 바로 옆에서 ""나무 로봇2""을 소환해주세요!
나무는 이걸로 완료입니다.
  3. 쇠붙이
쇠붙이는 5시방향에 있는 구리 부터 시작합니다.
제일 안쪽에 제일 큰 구리 앞에서 바로 ""쇠붙이 로봇 1""을 소환합니다. 
  다음으로 철광석 으로 이동합니다.
  철광석으로 넘어와서 옆에있는 철광석에서 ""쇠붙이 로봇 2""을 소환합니다. 
  소환 완료.
글 시작에서 말했듯이 라보네는 아직 오픈하지않은 킹덤이라 오픈후에는 어떨지는 모르겠습니다.
저희 킹덤원들에게 알려드리기위해 작성한것이라는점 이해해주시기 바랍니다.
  오티움까지 오픈하신분들은 다른방법으로 알고싶다면 이전글인 ""똥겜찍먹충""님의 글을 참고하면 될 것 같습니다.
다시보니까 업데이트 하셨네요..전체 오픈하고 (바위로봇1, 나무로봇2, 쇠붙이로봇2)로 운영하는방법..
킹덤마을 채집로봇 동선 공유글 (주관적입니다.) - 제2의 나라: Cross Worlds (netmarble.com)
  긴 글 봐주셔서 감사합니다.
다들 즐겁고 좋은하루 되시길 바랍니다.
  Yaram
신입 멤버
칼리아|Buddy|로그|레벨 211
+ 구독하기 0","슬끼 | 2024. 7. 9. 12:57 답글
파티요청 | 2024. 7. 8. 23:08 답글
조치요 | 2024. 7. 8. 22:56 답글
사실 자원간 이동(화강암->대리석 같은 경우)은 순간이동 하고 자원 내에서 이동할때만 걷기 때문에 창고앞에서 풀어도 됩니다... 저희킹덤은 2마리씩 총 6마리 다 창고 앞에 풀어요. 알아서 젠 되어있는 자원으로 순간이동 해서 일합니다!
답글 2개 모두 보기
아리론 | 2024. 7. 8. 21:20 답글
꿀팁인거랑은 별개로 여정 채집 300회 미션은 안드로이드 말고 직접 캐야 카운트 됩니당 ㅠ
므벤 | 2024. 7. 8. 20:08 답글",https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/87a8c6f0e1144ca4912de367b6e00643_1720434833907_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/19c2e92115cc4f8cb3e2e41efaa4e8e7_1720435198164_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/91d36b7bcbd2405daede70860cef87ca_1720435477763_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/5eabdf464bd54c5298f2fd6d2a50f619_1720435656340_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/9323c10e090c49299383b2fa9a46e9a3_1720435734874_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/fa64648945ba4bec83ca887eb985b4f6_1720435941791_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/62560dc48f8c4f5ba0a29cdb66ebdd14_1720436014718_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/1ab93a4049c6421dbfa76afa43aa5ed6_1720436113182_d.jpg
"전서버 개인전투력 Top407 (순위상승 전투력변동 아이디변동 캐릭터삭제포함)
댕끄 | 2024. 7. 4. 16:42 | 913
10등 유리부하찌끼쨩 -> 찌질찌끼
11등 석꿍->내맘이단짠단짠
12등 슬개골탈구->띨띨딸구
20등 작은별 -> 비니''
34등 neyo ->타임
60등 기회->돌아온꽈추형
64등 말랑흐물 -> VOTL
66등 딴따라 ->강변독사
104등 야슬L->태태감자
120등 메롱약오르지까꿍->무적채찍밍키
130등 고요한아라 ->푸른하니초
174등 동까스폐셜야미 ->김첨지의럭키데잇
182등 붉은댕기 ->야단
216등 전생연분 ->재밌는세탁기
244등 후냐옹x ->밍키공주
272등 Huniper ->봅규
305등 베씌 ->귀여운심리
375등 홧병 ->캐릭터삭제
        댕끄
일반 멤버
엔비|-|로그|레벨 138
+ 구독하기 1","샴푸모오닝 | 2024. 7. 4. 20:59 답글
닉까지 조사하는 댕끄님...대다네",https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/889b990b20ff434981915e844d68c35c_1720078538872_d.jpg
"동전! 아로와나 낚시왕 이벤트 정리 '이렇게만 해라'
지구 | 2024. 6. 28. 21:22 | 1,447
  1. '대운동회 코인' 을 100개 모은다. 
     (사냥을 하면 1일 최대 100개 들어옴)
  2. 상점 - 증표교환 - 대운동회 교환 상점 - 대운동회 교환 상점(위) - 미끼 구매
    (까만색 : '동전 아로와나 연습용 미끼' -> '많이 무거운 나무상자' 획득 가능)
    (황금색 : '최고급 동전 아로와나 미끼' -> 확정으로 '동전 아로와나(물고기)' 획득 가능)
    (금색 : '평범한 동전 아로와나 미끼' -> 가끔 '동전 아로와나(물고기)' 획득 가능)
    3. 장비 - 낚시 장비 - '베이트 키퍼' 낚싯대 + '민물 리사이클릴' + '어류 대물찌' 착용
       베이트 키퍼 -> 미끼 회수율 증가
   민물 리사이클릴 -> 미끼 회수율 증가
   어류 대물찌 -> 어류 크기 증가
  ★ 미끼 회수율 증가로 인해서, 주간 횟수 3회인 최고급 미끼(황금색) 를 추가로 획득 가능 ★ - 테스트 완료 
      4. 이벤트 장소 '에스타바니아' 에서 낚시를 한다. (낚시 npc 앞)
            위 사진처럼 무겁다!!!! 가 보이면 '동전 아로와나(물고기)' 를 만날 수 있다.
(아주 작은 bar와 함께...) (See Bar...)
  5. 낚시 용품 판매 '로이드' npc - 어종 납품 - '동전 아로와나' 판매 - 동전 아로와나 낚시 토큰 50개 획득
    가방 - '물약' (5번째) -> '상자' (1번째) -> '많이 무거운 나무상자' 사용 - 동전 아로와나 낚시 토큰 20개 획득
  6.  상점 - 증표교환 - 대운동회 교환 상점 - 대운동회 낚시 대회 교환 상점(아래) 
     경험치 상자 등 주간 횟수 아이템 우선으로 재화 구매
          글 작성에 도움을 주신 분 - 쵸비丷님, 돌멩이丷님 감사합니다 ^U^
  주구장창 에스타바니아에서 낚시 할 필요 없다...
지구
신입 멤버
칼리아|안개|소드맨|레벨 247
+ 구독하기 1","혜지쌉가능 | 2024. 7. 5. 13:08 답글
로카링 | 2024. 7. 1. 06:52 답글
감사합니다!
아리론 | 2024. 6. 28. 21:30 답글
음식 분홍 새우 찜도 특제로 만들어 드셔요",https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/bcc08e9d72104c2592e4036dd3946724_1719575585989_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/06fc420371cb447e8b18c9a9f50d0eb7_1719575770574_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/5f0caa7e49ab4a91931955314f5aec2f_1719575782211_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/f7696d76727a41a9813026a6d5d38b1d_1719575654885_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/a6896b79d49d49389afd438c94b00c5d_1719576560358_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/123ef5974e8d4bd196e2c17b792ac226_1719576941636_d.jpg
"에피소드 - 대운동회 일정표 및 보상
丷루나丷 | 2024. 6. 26. 15:32 | 815
                            대운동회 주요 콘텐츠 6월 27일(목) 업데이트 후 ~ 7월 24일(수) 23:59까지 진행    
  월 화 수 목 금 토 일    
  꼬르르 물폭탄 대전 16:00~23:59 　 16:00~23:59 　 　 16:00~23:59 　    
  스피드 랠리: 루슬란 컵 　 16:00~23:59 　 16:00~23:59 　 16:00~23:59 　    
  동전! 아로와나 낚시왕 에피소드 진행 기간 동안 매일 진행 가능    
  레이드 　    
  뒤틀린 경계선 　    
                  　     에피소드 상점
구성품
가격 구매 가능 횟수 주간 코인  
  대운동회 코인은 일반 필드, 카오스 필드, 부스팅 필드에서 마물 처치 시, 획득하실 수 있으며, 일일 최대 100개까지 획득이 가능합니다. 꼬르르 물폭탄 대전 보상 티켓 1개 대운동회 코인 30개 계정당 주 3회 90개  
  스피드 랠리 : 루슬란 컵 보상 티켓 1개 대운동회 코인 30개 계정당 주 3회 90개  
  최고급 동전 아로와나 미끼 1개 대운동회 코인 30개 계정당 주 3회 90개  
  동전 아로와나 연습용 미끼 1개 대운동회 코인 10개 계정당 주 10회 100개  
  평범한 동전 아로와나 미끼 1개 대운동회 코인 25개 계정당 33회 　  
                        대운동회 코인 획득갯수 월 화 수 목 금 토 일 주간 합계  
  6월 27일~6월 30일 　 　 　 100 100 100 100 400  
  7월 01일~7월 07일 100 100 100 100 100 100 100 700  
  7월 08일~7월 14일 100 100 100 100 100 100 100 700  
  7월 15일~7월 21일 100 100 100 100 100 100 100 700  
  7월 22일~7월 24일 100 100 100 　 　 　 　 300  
                        1. 꼬르르 물폭탄 대전 
물폭탄 대전에서는 체력이 3으로 적용되며, 물폭탄에 적중 당한 경우 체력 1이 소모되고 
체력이 0이 되어 사망할 경우 일정 시간 이후 시작 위치에서 부활합니다.
  물폭탄 대전에서는 물폭탄 줍기/던지기 및 회피만 가능하며
특정 위치에 생성되는 HP 회복 오브젝트를 통해 체력 회복이 가능합니다.

 * HP 체력 회복 포션 사용은 불가합니다.
 * 물폭탄 대전 전용 효과 외 별도의 버프 효과는 적용되지 않습니다.
  경기 진행 중 킬, 데스, 공격 횟수, 어시스트 등 다양한 기준에 따라 점수가 부여됩니다.
 * 처치한 여행자님이 강제 추방 당할 경우 해당 유저로 획득했던 점수의 일부를 잃습니다.
 * 경기가 어느정도 진행된 이후에 낮은 점수를 보유한 여행자님을 처치할 경우 낮은 점수를 획득하게 됩니다.
  또한, 아래의 항목에 따라 보너스 점수가 부여됩니다.
 - 해당 경기에서 최초로 킬한 경우
 - 5회 연속 킬을한 경우
 - 경기 시작 N초 이후부터 현재 1위인 여행자님을 처치한 경우
                          보상 내용 1위 2위 3위 4위 5위 6위 7위 8위  
  물폭탄 골드 럭키 상자 3개 3개 3개 2개 2개 1개 1개 1개  
  장비 각인석 선택 상자 320개 310개 300개 290개 280개 270개 260개 250개  
  승급석 선택 상자 5개 5개 5개 5개 5개 5개 5개 5개  
  풍화된 고대석 파편 상자 300개 290개 280개 270개 260개 250개 240개 230개  
  음식 재료 선택 주머니 3개 3개 3개 2개 2개 1개 1개 1개  
                          2. 스피드 랠리: 루슬란 컵
해당 스테이지 진행 시 스피드 랠리 맵 종류가 무작위로 등장하게되며, 맵 별로 다양한 미션들이 구성되어 있습니다.
  정해진 시간 안에 미션 클리어와 함께 지정된 목표 지점에 도착하면 도착 순위별 점수와 함께 다음 스테이지로 진출하실 수 있습니다.
  제한 시간 내 목표 지점에 모든 여행자님이 도착하여 통과하거나, 제한 시간 경과로 다음 스테이지 참여자가 없을 경우 종료됩니다.
  스테이지에서 생존한 여행자님은 다음 라운드를 진행하게 되며, 탈락한 여행자님은 관전을 진행하실 수 있으며, 채팅에 참여하실 수 있습니다.
* 생존한 여행자님이 없을 경우 즉시 게임이 종료되며 게임 결과 단계로 넘어가게 됩니다.
  스피드 랠리: 루슬란 컵 스테이지 진출 단계에 따라 점수가 부여됩니다.
  다만, 중도 이탈 및 강제 추방 처리에 의한 점수 패널티가 존재하며, 강제 추방 및 중도 이탈 처리된 여행자님은 점수를 획득할 수 없으며, 획득한 점수에 패널티가 부여됩니다.
   * 해당 경기가 최종 스테이지까지 완전히 종료되지 않은 상태에서 이탈할 경우 
대운동회 보상 티켓은 차감되지 않으며, 보상도 지급되지 않습니다.
              보상 내용 스테이지3 스테이지2 스테이지1  
  마법 페이지 선택 상자 4개 3개 2개  
  고급 마법 페이지 선택 상자  10개 7개 5개  
  달인의 마법 페이지 15개 10개 5개  
  토벌 지원 음식 선택 상자 4개 4개 3개  
  골드 100,000 75,000 50,000  
              3. 동전! 아로와나 낚시왕
동전! 아로와나 낚시왕 선발대회는 에피소드 메인 메뉴를 통해 참가하실 수 있습니다.
* 낚시 대회는 낚시 도감 3등급 이상 달성 시 참여할 수 있습니다.
  동전! 아로와나 낚시왕 선발대회는 주니어 리그와 시니어 리그로 나뉘어져 있으며, 리그가 진행되는 동안 참여한 리그 등급과 각 리그에서 과제로 제시하는 동전 아로와나를 낚은 횟수, 크기에 따라서 점수가 반영됩니다.
* 한개의 리그만 참여가 가능하며, 참가 신청 이후에는 취소 및 재신청이 불가합니다.

반영된 점수를 기준으로 리그전 순위가 결정되며, 리그전 순위에 따른 별도 보상은 지급되지 않습니다.
              구성품
가격 구매 가능 횟수  
  경험치 상자 Vol.1 1개 동전 아로와나 낚시 토큰 10개 계정당 주 1회  
  낚싯대 연마제 1개 동전 아로와나 낚시 토큰 2개 계정당 주 20회  
  낚싯대 승급 키트 1개 동전 아로와나 낚시 토큰 10개 계정당 주 2회  
  장난감 조합 키트 10개 동전 아로와나 낚시 토큰 10개 계정당 주 10회  
  진화의 열매 선택 바구니 5개 동전 아로와나 낚시 토큰 10개 계정당 주 3회  
  젤리 선택 보틀 2개 동전 아로와나 낚시 토큰 10개 계정당 주 3회  
  선택 결속 조각의 힘 2개 동전 아로와나 낚시 토큰 20개 계정당 주 3회  
  반짝이는 마음 50개 동전 아로와나 낚시 토큰 20개 계정당 주 3회  
  1000 골드 동전 아로와나 낚시 토큰 10개 무제한  
              주간 낚시 토큰 필요갯수      
  6월 27일~6월 30일 350개      
  7월 01일~7월 07일 350개      
  7월 08일~7월 14일 350개      
  7월 15일~7월 21일 350개      
  7월 22일~7월 24일 350개      
              4. 강제 추방 및 매칭 패널티
경기 입장 후 일정 시간 동안 움직임이 없을 경우 해당 경기에서 강제 추방이 진행되며,
중도 이탈 또는 강제 추방 빈도수에 따라 매칭 패널티가 적용됩니다.
  매칭 패널티가 적용될 경우 매칭을 진행할 수 없습니다.
 * 매칭 패널티는 중도 이탈 및 강제 추방 횟수에 따라 가중 적용됩니다.
 * 매칭 패널티는 매일 04:00에 초기화됩니다.
  단, 스피드 랠리: 루슬란 컵 참여 중 스테이지 탈락으로 관전 중 중도 이탈할 경우
스피드 랠리: 루슬란 컵 콘텐츠에 대한 매칭 패널티는 부여되지 않습니다.
  5. 개인 및 서버랭킹 보상
[개인 랭킹 보상 상세 정보]
꼬르르 물폭탄 대전, 스피드 랠리: 루슬란 컵, 동전! 아로와나 낚시왕 대회, 레이드, 뒤틀린 경계선 각각의 콘텐츠별로 개인 랭킹이 산정됩니다.
* 레이드의 경우 [대운동회] 에피소드 진행 기간 동안 플레이한 레이드 기록에 따라 개인 점수가 부여되며, 해당 개인 점수를 기반으로 랭킹이 산정됩니다.
  보상도 각각의 콘텐츠별 개인 랭킹에 따라 보상이 지급됩니다.
순위
보상 내용
1위
(칭호) 운동회 히어로
3,333 다이아
장비 소환 쿠폰 33개
이마젠 소환 쿠폰 33개
코스튬 소환 쿠폰 33개
수정구 소환 쿠폰 33개
성물 소환 쿠폰 33개
2위
(칭호) 운동회 히어로
2,222 다이아
장비 소환 쿠폰 22개
이마젠 소환 쿠폰 22개
코스튬 소환 쿠폰 22개
수정구 소환 쿠폰 22개
성물 소환 쿠폰 22개
3위
(칭호) 운동회 히어로
1,111 다이아
장비 소환 쿠폰 11개
이마젠 소환 쿠폰 11개
코스튬 소환 쿠폰 11개
수정구 소환 쿠폰 11개
성물 소환 쿠폰 11개
4위 ~ 6위
(칭호) 운동회 전문가
장비 소환 쿠폰 9개
이마젠 소환 쿠폰 9개
코스튬 소환 쿠폰 9개
수정구 소환 쿠폰 9개
성물 소환 쿠폰 9개
7위 ~ 10위
(칭호) 운동회 전문가
장비 소환 쿠폰 7개
이마젠 소환 쿠폰 7개
코스튬 소환 쿠폰 7개
수정구 소환 쿠폰 7개
성물 소환 쿠폰 7개
  [서버 랭킹 보상 상세 정보]
동일 서버 내 여행자님들이 꼬르르 물폭탄 대전, 스피드 랠리: 루슬란 컵, 동전! 아로와나 낚시왕 대회, 레이드, 뒤틀린 경계선 각각의 콘텐츠별로 획득하신 점수가 서버 랭킹 점수에 누적되며, 에피소드 종료 시 최종 누적된 점수에 따라 서버 랭킹 순위가 반영됩니다.
* 레이드의 경우 각 서버별로 상위 10위 여행자님의 점수가 합산되어 서버 랭킹에 산정됩니다.
  해당 서버 랭킹 보상은 서버 랭킹 순위에 따라 해당 서버에 소속된 여행자님 모두가 획득하실 수 있습니다.
  순위
보상 내용
  1위
신묘한 액막이 인형 10개
흑마법 강화석 선택 상자 10개
쿠우티콘 스탬프 상자 2개
음식 재료 선택 주머니 10개
3,000,000 골드
  2위
신묘한 액막이 인형 5개
흑마법 강화석 선택 상자 5개
쿠우티콘 스탬프 상자 2개
음식 재료 선택 주머니 10개
2,000,000 골드
  3위
신묘한 액막이 인형 3개
흑마법 강화석 선택 상자 3개
쿠우티콘 스탬프 상자 2개
음식 재료 선택 주머니 10개
1,000,000 골드
  4위 이하
신묘한 액막이 인형 1개
흑마법 강화석 선택 상자 1개
쿠우티콘 스탬프 상자 1개
음식 재료 선택 주머니 5개
500,000 골드
 
      丷루나丷
성실 멤버
에델리안|피지컬|위치|레벨 226
+ 구독하기 0","라라하트 | 2024. 6. 27. 11:00 답글
발렌티 | 2024. 6. 26. 18:44 답글
린수사 | 2024. 6. 26. 18:37 답글
홀리 쉣 루나님 감사합니다 ㅎㅎㅎㅎ
한바미 | 2024. 6. 26. 16:01 답글
우리 대쟝님!!",
"재미로보는 주간킬수 1000회이상
댕끄 | 2024. 6. 22. 13:45 | 773
  댕끄
일반 멤버
엔비|-|로그|레벨 138
+ 구독하기 1",코뻘거이동생 | 2024. 6. 22. 20:29 답글,https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/341db69567e744288f3347f80aeac652_1719031524356_d.jpg
"왕쟁응원수로 보는 제2의나라 인구수 22일 12시 기준
댕끄 | 2024. 6. 22. 13:31 | 637
  댕끄
일반 멤버
엔비|-|로그|레벨 138
+ 구독하기 1",,https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/1017f009c82244839b264b9dacaaf83b_1719030671868_d.jpg
